Date Pulled,Address,Suburb,Property Type,Beds,Baths,Cars,Land Size (m2),Asking Price ($),Price Per Acre ($),Days on Market,Sale Method,Agency,Dual Living / Granny Flat,Subdivision Potential,Usable Land,Build Classification,Budget Rule Applied,Dynamic Rent Est ($),NOI ($),Cap Rate (%),Gross Yield (%),Net Yield (%),Monthly Repayment ($),DSCR,Break-Even Ratio (%),Net Annual Cashflow ($),Net Weekly Cashflow ($),Quarantined Loss Year 1 ($),Tax Benefit Year 1 ($),Post-Tax Cash Flow ($) *Est,Est Renovation / Capex ($),Total Cash Invested ($),Cash-on-Cash Return (%),Est 10-Yr IRR (%),Est Year 1 ROE (%),Cashflow Status,URL
2026-06-30,11 Red Hill Road,Gympie,other,3.0,2.0,8.0,944.0,1100000.0,4715621.0,,For Sale,Unknown,False,False,False,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,2.18,3.01,2.18,5562.2,0.36,228.9,-42740.25,-821.93,43193.87,0.0,-42740.25,0.0,280000.0,-15.26,2.65,-12.76,Negative,https://www.realestate.com.au/property-other-qld-gympie-151630776
2026-06-30,44 Young Street,Gympie,house,3.0,2.0,5.0,642.0,735000.0,4633087.0,,For Sale,Unknown,False,False,True,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,3.27,4.51,3.27,3716.56,0.54,162.1,-20592.59,-396.01,24213.87,0.0,-20592.59,0.0,207000.0,-9.95,4.16,-8.45,Negative,https://www.realestate.com.au/property-house-qld-gympie-151190112
2026-06-30,36 Hilton Road,Gympie,house,3.0,1.0,0.0,866.0,649000.0,3032808.0,,For Sale,Unknown,False,False,False,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,3.7,5.11,3.7,3281.7,0.61,146.37,-15374.23,-295.66,19741.87,0.0,-15374.23,0.0,189800.0,-8.1,4.75,-6.92,Negative,https://www.realestate.com.au/property-house-qld-gympie-150902724
2026-06-30,8 Gladstone Street,Gympie,house,4.0,1.0,3.0,610.0,795000.0,5274186.0,,For Sale,Unknown,False,False,True,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,3.02,4.17,3.02,4019.95,0.5,173.08,-24233.3,-466.02,27333.87,0.0,-24233.3,0.0,219000.0,-11.07,3.82,-9.37,Negative,https://www.realestate.com.au/property-house-qld-gympie-151631192
2026-06-30,3 Cassia Court,Gympie,house,4.0,1.0,3.0,961.0,735000.0,3095153.0,,For Sale,Unknown,False,False,True,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,3.27,4.51,3.27,3716.56,0.54,162.1,-20592.59,-396.01,24213.87,0.0,-20592.59,0.0,207000.0,-9.95,4.16,-8.45,Negative,https://www.realestate.com.au/property-house-qld-gympie-151443152
2026-06-30,29 Louisa Street,Gympie,house,6.0,2.0,2.0,3101.0,1350000.0,1761774.0,,For Sale,Unknown,True,False,True,New Build / Likely Eligible,2026 Budget: losses deductible against other income,637.67,24006.13,1.78,2.46,1.78,6826.33,0.29,274.64,-57909.88,-1113.65,0.0,20791.73,-37118.15,0.0,330000.0,-17.55,3.71,-14.57,Negative,https://www.realestate.com.au/property-house-qld-gympie-151190284
2026-06-30,4 Baker Street,Gympie,house,3.0,1.0,1.0,597.0,750000.0,5083995.0,,For Sale,Unknown,False,False,True,New Build / Likely Eligible,2026 Budget: losses deductible against other income,637.67,24006.13,3.2,4.42,3.2,3792.41,0.53,164.85,-21502.76,-413.51,0.0,9247.73,-12255.03,0.0,210000.0,-10.24,5.7,-8.69,Negative,https://www.realestate.com.au/property-house-qld-gympie-151334800
2026-06-30,29 Caledonian Hill,Gympie,house,3.0,1.0,1.0,1739.0,790000.0,1838424.0,,For Sale,Unknown,False,False,False,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,3.04,4.2,3.04,3994.67,0.5,172.17,-23929.91,-460.19,27073.87,0.0,-23929.91,0.0,218000.0,-10.98,3.85,-9.29,Negative,https://www.realestate.com.au/property-house-qld-gympie-151146136
2026-06-30,38 Horseshoe Bend,Gympie,house,2.0,1.0,0.0,664.0,0.0,,,For Sale,Unknown,False,False,False,Established / Assume Quarantined,,637.67,,,,,,,,,,,,,0.0,,,,,Unknown,https://www.realestate.com.au/property-house-qld-gympie-150001468
2026-06-30,88 Cartwright Road,Gympie,house,4.0,2.0,2.0,800.0,775000.0,3920396.0,,For Sale,Unknown,False,False,True,Established / Assume Quarantined,"2026 Budget: established losses quarantined, no wage offset",637.67,24006.13,3.1,4.28,3.1,3918.82,0.51,169.42,-23019.73,-442.69,26293.87,0.0,-23019.73,0.0,215000.0,-10.71,3.93,-9.07,Negative,https://www.realestate.com.au/property-house-qld-gympie-151443076
