Date Pulled,Suburb,Median Acreage Rent ($),Interest Rate (%)
2026-06-30,Gympie,637.67,6.5
2026-06-30,Southside,656.0,6.5
2026-06-30,Jones Hill,755.0,6.5
2026-06-30,Kandanga,475.0,6.5
2026-06-30,Widgee,580.0,6.5
2026-06-30,Wolvi,850.0,6.5
2026-06-30,Veteran,680.0,6.5
2026-06-30,Pomona,450.0,6.5
2026-06-30,Federal,500.0,6.5
2026-06-30,Cooroy,585.0,6.5
2026-06-30,Tinbeerwah,1500.0,6.5
2026-06-30,Carters Ridge,660.0,6.5
2026-06-30,Eumundi,1425.0,6.5
2026-06-30,Doonan,1300.0,6.5
2026-06-30,Ringtail Creek,1090.0,6.5
2026-06-30,Cootharaba,1250.0,6.5
2026-06-30,Kenilworth,610.0,6.5
2026-06-30,Yandina,850.0,6.5
2026-06-30,Yandina Creek,1550.0,6.5
2026-06-30,Maroochy River,1150.0,6.5
2026-06-30,Rosemount,950.0,6.5
2026-06-30,Mapleton,1245.0,6.5
2026-06-30,Flaxton,1035.0,6.5
2026-06-30,Montville,860.0,6.5
2026-06-30,Nambour,685.0,6.5
2026-06-30,Burnside,855.0,6.5
2026-06-30,Woombye,550.0,6.5
2026-06-30,Palmwoods,842.0,6.5
2026-06-30,Eudlo,695.0,6.5
2026-06-30,Dulong,562.5,6.5
2026-06-30,Maleny,837.5,6.5
2026-06-30,Witta,590.0,6.5
2026-06-30,Conondale,498.33,6.5
2026-06-30,Mooloolah Valley,620.0,6.5
2026-06-30,Glenview,795.0,6.5
2026-06-30,Diamond Valley,1125.0,6.5
2026-06-30,Landsborough,700.0,6.5
2026-06-30,Beerwah,785.83,6.5
2026-06-30,Glass House Mountains,885.0,6.5
2026-06-30,Palmview,887.67,6.5
