Date Parsed,Sender,Subject,Dual Living / Granny Flat,Subdivision Potential,Usable Land,Source,Price Mentioned,Links
2026-06-27,sinkosinkoinvestments <notifications@github.com>,[sinkosinkoinvestments/Property-Investment-Dashboard] Run failed: Cloud Property Scraper Pipeline (V5 Post-Budget 2026) - main (025cd96),False,False,False,Email Lead,,
2026-06-27,"""Farmbuy.com"" <noreply@farmbuy.com>",Welcome to Farmbuy!,False,False,False,Email Lead,,
2026-06-27,"""realestate.com.au"" <hello@email.realestate.com.au>",Welcome home!,False,False,False,Email Lead,,
2026-06-28,"""Domain.com.au Property Alert"" <noreply@domain.com.au>",Home Alert for Noosa Hinterland Region QLD,False,False,False,Email Lead,,
2026-06-29,Google <no-reply@accounts.google.com>,2-Step Verification turned on,False,False,False,Email Lead,,https://www.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png | https://lh3.googleusercontent.com/a/ACg8ocKvkLL74wRAs08PfWrxmSyEuUWQpThOwB8jnpPkb_stDGdWPQ=s96-c
2026-06-29,Google <no-reply@accounts.google.com>,Security alert,False,False,False,Email Lead,,https://www.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png | https://lh3.googleusercontent.com/a/ACg8ocKvkLL74wRAs08PfWrxmSyEuUWQpThOwB8jnpPkb_stDGdWPQ=s96-c
2026-06-29,sinkosinkoinvestments <notifications@github.com>,[sinkosinkoinvestments/Property-Investment-Dashboard] Run failed: Cloud Property Scraper Pipeline (V5 Post-Budget 2026) - main (3399d35),False,False,False,Email Lead,,https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286774377 | https://github.com/settings/notifications?email_source=notifications&email_token=CG4QEQN4WKOPLU2NIUJMI6L5B6QATA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DANRXGYZDQJJTIIYTOOBSGU2TMNZYHGTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW | https://github.githubassets.com/assets/octocat-logo-805b5c3e249f.png | https://github.githubassets.com/assets/actions-1cc0c3ccfe18.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286774377?email_source=notifications&amp;email_token=CG4QEQO6MDJ3YMHJWS64MLT5B6QATA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DANRXGYZDQJJTIIYTOOBSGU2TMNZYHGTHEZLBONXW5IFFMV3GK3TUWVRXGX3XN5ZGWZTMN53V64TVNZPWG3DJMNVQ | https://github.githubassets.com/assets/x-circle-fill-red-153d16960fc8.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286774377?email_source=notifications&amp;email_token=CG4QEQLVGCA6QN4H6AV5O7T5B6QATA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DANRXGYZDQJJTIIYTOOBSGU2TMNZYHGTHEZLBONXW5IFFMV3GK3TUWRRXGX3BNZXG65DBORUW63TTL5RWY2LDNM | https://github.githubassets.com/assets/report-gray-d5f2721544ee.png | https://github.com/settings/notifications?email_source=notifications&amp;email_token=CG4QEQN4WKOPLU2NIUJMI6L5B6QATA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DANRXGYZDQJJTIIYTOOBSGU2TMNZYHGTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW
2026-06-29,sinkosinkoinvestments <notifications@github.com>,[sinkosinkoinvestments/Property-Investment-Dashboard] Run failed: Cloud Property Scraper Pipeline (V5 Post-Budget 2026) - main (40ae2ef),False,False,False,Email Lead,,https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286813153 | https://github.com/settings/notifications?email_source=notifications&email_token=CG4QEQJTWEKNH44C7FP5OOT5B6QOZA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DCNRXGI4TSJJTIIYTOOBSGU2TOMBRGWTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW | https://github.githubassets.com/assets/octocat-logo-805b5c3e249f.png | https://github.githubassets.com/assets/actions-1cc0c3ccfe18.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286813153?email_source=notifications&amp;email_token=CG4QEQL3UDLJINDKEO3BWHL5B6QOZA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DCNRXGI4TSJJTIIYTOOBSGU2TOMBRGWTHEZLBONXW5IFFMV3GK3TUWVRXGX3XN5ZGWZTMN53V64TVNZPWG3DJMNVQ | https://github.githubassets.com/assets/x-circle-fill-red-153d16960fc8.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286813153?email_source=notifications&amp;email_token=CG4QEQP5G22T5LBBB4WLK3T5B6QOZA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DCNRXGI4TSJJTIIYTOOBSGU2TOMBRGWTHEZLBONXW5IFFMV3GK3TUWRRXGX3BNZXG65DBORUW63TTL5RWY2LDNM | https://github.githubassets.com/assets/report-gray-d5f2721544ee.png | https://github.com/settings/notifications?email_source=notifications&amp;email_token=CG4QEQJTWEKNH44C7FP5OOT5B6QOZA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DCNRXGI4TSJJTIIYTOOBSGU2TOMBRGWTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW
2026-06-29,sinkosinkoinvestments <notifications@github.com>,[sinkosinkoinvestments/Property-Investment-Dashboard] Run failed: Cloud Property Scraper Pipeline (V5 Post-Budget 2026) - main (f470d04),False,False,False,Email Lead,,https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286945932 | https://github.com/settings/notifications?email_source=notifications&email_token=CG4QEQMFJQ4BG4H4DZTLGZ35B6Q5XA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DKMJXG4YDKJJTIIYTOOBSGU2TOMRVGWTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW | https://github.githubassets.com/assets/octocat-logo-805b5c3e249f.png | https://github.githubassets.com/assets/actions-1cc0c3ccfe18.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286945932?email_source=notifications&amp;email_token=CG4QEQM2TJQYS3NZNW4QT5D5B6Q5XA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DKMJXG4YDKJJTIIYTOOBSGU2TOMRVGWTHEZLBONXW5IFFMV3GK3TUWVRXGX3XN5ZGWZTMN53V64TVNZPWG3DJMNVQ | https://github.githubassets.com/assets/x-circle-fill-red-153d16960fc8.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286945932?email_source=notifications&amp;email_token=CG4QEQPG7IEWUHT6MZAEV2T5B6Q5XA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DKMJXG4YDKJJTIIYTOOBSGU2TOMRVGWTHEZLBONXW5IFFMV3GK3TUWRRXGX3BNZXG65DBORUW63TTL5RWY2LDNM | https://github.githubassets.com/assets/report-gray-d5f2721544ee.png | https://github.com/settings/notifications?email_source=notifications&amp;email_token=CG4QEQMFJQ4BG4H4DZTLGZ35B6Q5XA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DKMJXG4YDKJJTIIYTOOBSGU2TOMRVGWTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW
2026-06-29,sinkosinkoinvestments <notifications@github.com>,[sinkosinkoinvestments/Property-Investment-Dashboard] Run failed: Cloud Property Scraper Pipeline (V5 Post-Budget 2026) - main (72dcb7f),False,False,False,Email Lead,,https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286976468 | https://github.com/settings/notifications?email_source=notifications&email_token=CG4QEQOJNR5DUGOPCDYKLQ35B6RDJA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DMMBSGU2DMJJTIIYTOOBSGU2TOMZUGSTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW | https://github.githubassets.com/assets/octocat-logo-805b5c3e249f.png | https://github.githubassets.com/assets/actions-1cc0c3ccfe18.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286976468?email_source=notifications&amp;email_token=CG4QEQLBAF2TH7XVJFGTYN35B6RDJA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DMMBSGU2DMJJTIIYTOOBSGU2TOMZUGSTHEZLBONXW5IFFMV3GK3TUWVRXGX3XN5ZGWZTMN53V64TVNZPWG3DJMNVQ | https://github.githubassets.com/assets/x-circle-fill-red-153d16960fc8.png | https://github.com/sinkosinkoinvestments/Property-Investment-Dashboard/actions/runs/28286976468?email_source=notifications&amp;email_token=CG4QEQN4B4TPHCQ5O55SRNT5B6RDJA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DMMBSGU2DMJJTIIYTOOBSGU2TOMZUGSTHEZLBONXW5IFFMV3GK3TUWRRXGX3BNZXG65DBORUW63TTL5RWY2LDNM | https://github.githubassets.com/assets/report-gray-d5f2721544ee.png | https://github.com/settings/notifications?email_source=notifications&amp;email_token=CG4QEQOJNR5DUGOPCDYKLQ35B6RDJA5CNFSNUACCM5UWIORPF5TWS5BNNB2WEL2DNBSWG22TOVUXIZKFOZSW45CON52GSZTJMNQXI2LPNYXTONRTGY2DMMBSGU2DMJJTIIYTOOBSGU2TOMZUGSTHEZLBONXW5IFFMV3GK3TUWFRXGX3TMV2HI2LOM5ZV6Y3MNFRWW
