Date Pulled,Address,Suburb,Property Type,Beds,Baths,Cars,Land Size (m2),Sale Price ($),Price Per Acre ($),Sale Date,Agency,URL
2026-06-28,48 Tewantin Road,Cooroy,house,2,1,1,1000.0,980000.0,3965923,,Unknown,https://www.realestate.com.au/property-house-qld-cooroy-150737556
2026-06-28,41 Miva Street,Cooroy,house,3,2,0,1000.0,1332500.0,5392441,,Unknown,https://www.realestate.com.au/property-house-qld-cooroy-150859148
2026-06-28,54 Bagnalls Road,Cooroy,house,3,1,3,1000.0,1855000.0,7506925,,Unknown,https://www.realestate.com.au/property-house-qld-cooroy-150693628
2026-06-28,134A Elm Street,Cooroy,house,4,2,3,1000.0,1760000.0,7122474,,Unknown,https://www.realestate.com.au/property-house-qld-cooroy-150438700
2026-06-28,5 Victory Lane,Cooroy,house,3,1,1,1000.0,1150000.0,4653889,,Unknown,https://www.realestate.com.au/property-house-qld-cooroy-150743124
2026-06-28,70 Black Mountain Road,Black Mountain,house,5,3,3,1000.0,1670000.0,6758256,,Unknown,https://www.realestate.com.au/property-house-qld-black+mountain-150906600
2026-06-28,18 Myrtle Court,Black Mountain,house,4,3,2,1000.0,1425000.0,5766776,,Unknown,https://www.realestate.com.au/property-house-qld-black+mountain-150025364
2026-06-28,64 Lawnville Road,Black Mountain,house,4,2,2,1000.0,1540000.0,6232164,,Unknown,https://www.realestate.com.au/property-house-qld-black+mountain-150463908
2026-06-28,220 Lawnville Road,Black Mountain,house,4,2,4,1000.0,2550000.0,10319493,,Unknown,https://www.realestate.com.au/property-house-qld-black+mountain-146376308
2026-06-28,235 Black Mountain Range Road,Black Mountain,house,3,2,2,1000.0,1350000.0,5463261,,Unknown,https://www.realestate.com.au/property-house-qld-black+mountain-150652800
2026-06-28,20 Pacific View Drive,Tinbeerwah,house,4,2,2,1000.0,1160000.0,4694358,,Unknown,https://www.realestate.com.au/property-house-qld-tinbeerwah-149781880
2026-06-28,14 Mackay Ct,Tinbeerwah,house,5,2,4,1000.0,1702500.0,6889779,,Unknown,https://www.realestate.com.au/property-house-qld-tinbeerwah-150012744
2026-06-28,43 Worba Lane,Tinbeerwah,acreage/semi-rural,4,2,4,1000.0,3150000.0,12747609,,Unknown,https://www.realestate.com.au/property-acreage+semi-rural-qld-tinbeerwah-147413136
2026-06-28,590 Sunrise Road,Tinbeerwah,house,6,4,4,1000.0,2910000.0,11776363,,Unknown,https://www.realestate.com.au/property-house-qld-tinbeerwah-150426068
2026-06-28,44 Patterson Drive,Tinbeerwah,house,4,2,6,1000.0,2100000.0,8498406,,Unknown,https://www.realestate.com.au/property-house-qld-tinbeerwah-150518784
2026-06-28,18 Quondong Court,Yandina,house,4,2,6,1000.0,1420000.0,5746541,,Unknown,https://www.realestate.com.au/property-house-qld-yandina-149997968
2026-06-28,46 Wappa Falls Road,Yandina,house,3,1,3,1000.0,990000.0,4006391,,Unknown,https://www.realestate.com.au/property-house-qld-yandina-150856576
2026-06-28,43 Maroochy Circuit,Yandina,house,4,2,2,1000.0,1315000.0,5321621,,Unknown,https://www.realestate.com.au/property-house-qld-yandina-150655148
2026-06-28,34 Colemans Road,Yandina,house,4,2,2,1000.0,1230000.0,4977638,,Unknown,https://www.realestate.com.au/property-house-qld-yandina-151125616
2026-06-28,4 Mia Court,Yandina,house,4,2,2,1000.0,1440000.0,5827478,,Unknown,https://www.realestate.com.au/property-house-qld-yandina-151033152
2026-06-28,9 Deodar Court,Mapleton,house,3,1,1,1000.0,970000.0,3925454,,Unknown,https://www.realestate.com.au/property-house-qld-mapleton-150279052
2026-06-28,201 Flaxton Drive,Mapleton,house,3,3,2,1000.0,1900000.0,7689034,,Unknown,https://www.realestate.com.au/property-house-qld-mapleton-149759680
2026-06-28,224 Obi Obi Road,Mapleton,house,4,2,2,1000.0,1420000.0,5746541,,Unknown,https://www.realestate.com.au/property-house-qld-mapleton-151065652
2026-06-28,5 Habitat Lane,Mapleton,house,3,2,2,1000.0,1150000.0,4653889,,Unknown,https://www.realestate.com.au/property-house-qld-mapleton-150434164
2026-06-28,12 Karri Court,Mapleton,house,4,2,0,1000.0,1120000.0,4532483,,Unknown,https://www.realestate.com.au/property-house-qld-mapleton-150826344
